Sentence,FinalScore
The e-Cedi is being developed as a retail central bank digital currency,0.575
Pilot testing has explored both online and offline transaction capabilities.,0.575
The central bank continues to evaluate regulatory requirements before launch.,0.5875
Adoption timelines remain dependent on legislative approval.,0.525
Economic conditions have influenced delays in launching the digital currency.,0.36250000000000000
Analysts note that strong reliance on existing payment systems could slow uptake.,0.35000000000000000
Officials believe the e-Cedi could strengthen financial inclusion across underserved communities.,0.6625
The digital currency initiative aims to support Ghana’s broader digital economy strategy.,0.6375000000000000
The Bank of Ghana continues to explore how CBDC design can improve accessibility and efficiency.,0.6875
The Bank of Jamaica is working to improve access to its central bank digital currency.,0.7625
Jam-Dex became legal tender in June 2022 and is equivalent one-to-one with the Jamaican dollar.,0.6125
Officials say expanding access to digital payments is a priority for the central bank.,0.6
The number of wallet providers remains a major limitation affecting usage.,0.4
Merchant acceptance through existing point-of-sale terminals continues to be a challenge.,0.3
Only two digital wallets currently allow the public to transact using Jam-Dex.,0.5
Authorities believe converting POS machines will accelerate adoption.,0.5875
The value of Jam-Dex in issuance represents only a small fraction of total currency in circulation.,0.45
The central bank lists thousands of merchants that accept the digital currency.,0.6625000000000000
Officials continue to encourage Jamaicans to move away from heavy reliance on cash.,0.6625
Infrastructure disruptions after Hurricane Melissa slowed digital payment adoption.”,0.2875
Some regions reverted to cash transactions due to telecom and electricity challenges.,0.2875
Emergency cash injections highlighted ongoing dependence on physical currency.,0.3
The central bank plans to aggressively promote Jam-Dex once POS integration improves,0.6500000000000000
Officials argue that digital currency can help modernise Jamaica’s payment ecosystem.,0.6625
The introduction of the e-Cedi is intended to extend financial services to remote areas.,0.65
Officials believe digital currency could improve international transfers and remittances.,0.6875
The central bank described the digital cedi as a pivotal step in Ghana’s financial evolution.,0.65
The Bank of Ghana collaborated with technology partners to explore a digital version of the national currency.,0.55
A pilot programme was launched to test the feasibility of the e-Cedi platform.,0.575
Officials said the pilot attracted strong participation from Ghana’s youth population.,0.7375
Public trust in the central bank was highlighted as a factor supporting experimentation with digital currency.,0.6750000000000000
The e-Cedi was designed as a non-interest-bearing token issued by the central bank,0.5
Commercial banks are expected to act as distribution channels for the digital currency.,0.55
Hackathons were launched to encourage fintech innovation around the e-Cedi ecosystem.,0.6375
Preventing misuse and illegal activities remains a priority for the central bank.,0.5500000000000000
The e-Cedi is issued directly by the central bank rather than private institutions.,0.6
The initiative reflects Ghana’s broader move toward domestic digitalisation.,0.625
Jamaica’s central bank completed a pilot enabling dynamic QR payments for Jam-Dex at merchant terminals.,0.6
Officials reported that uptake of CBDC transactions is much lower than other wallet features.,0.375
Many retailers prefer a single payment terminal instead of adding a separate device for CBDC transactions.,0.4
Adoption levels remain modest compared to expectations from early pilots.,0.38750000000000000
Merchant readiness is a key factor slowing widespread rollout of Jam-Dex.,0.4
Wallet providers have not fully implemented the technology required for CBDC payments at scale.,0.3875
Additional banks have joined the digital wallet ecosystem to distribute Jam-Dex.,0.675
Authorities believe expanding wallet options could increase transaction volume.,0.6625
Officials suggested that incentives or payroll payments in CBDC might encourage adoption.,0.6375
The rollout strategy focuses on improving merchant acceptance rather than consumer incentives alone.,0.6000000000000000
Regulators see CBDC as part of a broader modernization of Jamaica’s payment infrastructure.,0.6875000000000000
Delays in technological integration continue to slow CBDC expansion.,0.3125
