Sentence,LLM,Prof,Dash,You,FinalScore,Ref_LLM,Ref_Prof,Ref_Dash,Ref_You,StdDev
Officials argue that digital currency can help modernise Jamaica’s payment ecosystem.,0.75,0.6,0.65,0.65,0.6625,0.6333333333333330,0.6833333333333330,0.6666666666666670,0.6666666666666670,0.06291528696058960
The introduction of the e-Cedi is intended to extend financial services to remote areas.,0.6,0.5,0.8,0.7,0.65,0.6666666666666670,0.7000000000000000,0.6,0.6333333333333330,0.12909944487358100
Officials believe digital currency could improve international transfers and remittances.,0.75,0.6,0.65,0.75,0.6875,0.6666666666666670,0.7166666666666670,0.7000000000000000,0.6666666666666670,0.07500000000000000
The central bank described the digital cedi as a pivotal step in Ghana’s financial evolution.,0.75,0.6,0.65,0.6,0.65,0.6166666666666670,0.6666666666666670,0.65,0.6666666666666670,0.07071067811865480
The Bank of Ghana collaborated with technology partners to explore a digital version of the national currency.,0.5,0.6,0.6,0.5,0.55,0.5666666666666670,0.5333333333333330,0.5333333333333330,0.5666666666666670,0.05773502691896260
A pilot programme was launched to test the feasibility of the e-Cedi platform.,0.5,0.6,0.7,0.5,0.575,0.6,0.5666666666666670,0.5333333333333330,0.6,0.09574271077563380
Officials said the pilot attracted strong participation from Ghana’s youth population.,0.5,0.8,0.85,0.8,0.7375,0.8166666666666670,0.7166666666666670,0.7000000000000000,0.7166666666666670,0.16007810593582100
Public trust in the central bank was highlighted as a factor supporting experimentation with digital currency.,0.6,0.6,0.85,0.65,0.6750000000000000,0.7000000000000000,0.7000000000000000,0.6166666666666670,0.6833333333333330,0.11902380714238100
The e-Cedi was designed as a non-interest-bearing token issued by the central bank,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
Commercial banks are expected to act as distribution channels for the digital currency.,0.6,0.6,0.5,0.5,0.55,0.5333333333333330,0.5333333333333330,0.5666666666666670,0.5666666666666670,0.05773502691896260
Hackathons were launched to encourage fintech innovation around the e-Cedi ecosystem.,0.5,0.6,0.75,0.7,0.6375,0.6833333333333330,0.65,0.6,0.6166666666666670,0.11086778913041700
Preventing misuse and illegal activities remains a priority for the central bank.,0.6,0.7,0.4,0.5,0.5500000000000000,0.5333333333333330,0.5,0.6,0.5666666666666670,0.12909944487358100
The e-Cedi is issued directly by the central bank rather than private institutions.,0.6,0.8,0.5,0.5,0.6,0.6,0.5333333333333330,0.6333333333333330,0.6333333333333330,0.14142135623731000
The initiative reflects Ghana’s broader move toward domestic digitalisation.,0.5,0.6,0.8,0.6,0.625,0.6666666666666670,0.6333333333333330,0.5666666666666670,0.6333333333333330,0.1258305739211790
Jamaica’s central bank completed a pilot enabling dynamic QR payments for Jam-Dex at merchant terminals.,0.5,0.5,0.8,0.6,0.6,0.6333333333333330,0.6333333333333330,0.5333333333333330,0.6,0.14142135623731000
Officials reported that uptake of CBDC transactions is much lower than other wallet features.,0.6,0.4,0.25,0.25,0.375,0.3,0.3666666666666670,0.4166666666666670,0.4166666666666670,0.16583123951777000
Many retailers prefer a single payment terminal instead of adding a separate device for CBDC transactions.,0.6,0.4,0.3,0.3,0.4,0.3333333333333330,0.40000000000000000,0.43333333333333300,0.43333333333333300,0.1414213562373100
Adoption levels remain modest compared to expectations from early pilots.,0.5,0.4,0.3,0.35,0.38750000000000000,0.3500000000000000,0.3833333333333330,0.4166666666666670,0.40000000000000000,0.08539125638299670
Merchant readiness is a key factor slowing widespread rollout of Jam-Dex.,0.3,0.5,0.3,0.5,0.4,0.43333333333333300,0.3666666666666670,0.43333333333333300,0.3666666666666670,0.11547005383792500
Wallet providers have not fully implemented the technology required for CBDC payments at scale.,0.6,0.4,0.25,0.3,0.3875,0.31666666666666700,0.3833333333333330,0.43333333333333300,0.4166666666666670,0.15478479684172300
Additional banks have joined the digital wallet ecosystem to distribute Jam-Dex.,0.6,0.6,0.75,0.75,0.675,0.7000000000000000,0.7000000000000000,0.65,0.65,0.08660254037844390
Authorities believe expanding wallet options could increase transaction volume.,0.6,0.6,0.75,0.7,0.6625,0.6833333333333330,0.6833333333333330,0.6333333333333330,0.65,0.07500000000000000
Officials suggested that incentives or payroll payments in CBDC might encourage adoption.,0.6,0.7,0.7,0.55,0.6375,0.65,0.6166666666666670,0.6166666666666670,0.6666666666666670,0.07500000000000000
The rollout strategy focuses on improving merchant acceptance rather than consumer incentives alone.,0.6,0.5,0.8,0.5,0.6000000000000000,0.6,0.6333333333333330,0.5333333333333330,0.6333333333333330,0.14142135623731000
Regulators see CBDC as part of a broader modernization of Jamaica’s payment infrastructure.,0.6,0.7,0.8,0.65,0.6875000000000000,0.7166666666666670,0.6833333333333330,0.6500000000000000,0.7000000000000000,0.08539125638299670
Delays in technological integration continue to slow CBDC expansion.,0.3,0.4,0.25,0.3,0.3125,0.31666666666666700,0.2833333333333330,0.3333333333333330,0.31666666666666700,0.0629152869605896
